;FIG;Weinstock
539;FIG|691.12.PEG.1506;BA890_RS05585
540;FIG|691.12.PEG.1507;BA890_RS05580
541;FIG|691.12.PEG.1508;BA890_RS05575
542;FIG|691.12.PEG.1509;BA890_RS05570
543;FIG|691.12.PEG.151;BA890_RS12305
544;FIG|691.12.PEG.1510;BA890_RS05565
545;FIG|691.12.PEG.1511;BA890_RS05560
546;FIG|691.12.PEG.1512;BA890_RS05555
547;FIG|691.12.PEG.1513;BA890_RS05550
548;FIG|691.12.PEG.1514;BA890_RS05545
549;FIG|691.12.PEG.1515;BA890_RS05540
550;FIG|691.12.PEG.1516;BA890_RS05535
551;FIG|691.12.PEG.1517;BA890_RS05530
552;FIG|691.12.PEG.1518;BA890_RS05525
553;FIG|691.12.PEG.1519;BA890_RS05520
554;FIG|691.12.PEG.152;BA890_RS12300
555;FIG|691.12.PEG.1520;BA890_RS05515
556;FIG|691.12.PEG.1521;BA890_RS05510
557;FIG|691.12.PEG.1522;BA890_RS05505
558;FIG|691.12.PEG.1523;BA890_RS05500
559;FIG|691.12.PEG.1524;BA890_RS05495
560;FIG|691.12.PEG.1525;BA890_RS05490
561;FIG|691.12.PEG.1526;BA890_RS05485
562;FIG|691.12.PEG.1527;BA890_RS05480
563;FIG|691.12.PEG.1528;BA890_RS05475
564;FIG|691.12.PEG.1529;BA890_RS05470
565;FIG|691.12.PEG.153;BA890_RS12295
566;FIG|691.12.PEG.1530;BA890_RS05465
567;FIG|691.12.PEG.1531;BA890_RS05460
568;FIG|691.12.PEG.1533;BA890_RS05455
569;FIG|691.12.PEG.1534;BA890_RS05450
570;FIG|691.12.PEG.1535;BA890_RS05445
571;FIG|691.12.PEG.1536;BA890_RS05440
572;FIG|691.12.PEG.1537;BA890_RS05435
573;FIG|691.12.PEG.1538;BA890_RS05430
574;FIG|691.12.PEG.1539;BA890_RS05425
575;FIG|691.12.PEG.154;BA890_RS12290
576;FIG|691.12.PEG.1540;BA890_RS05420
577;FIG|691.12.PEG.1541;BA890_RS05415
578;FIG|691.12.PEG.1542;BA890_RS05410
579;FIG|691.12.PEG.1543;BA890_RS05405
580;FIG|691.12.PEG.1544;BA890_RS05400
581;FIG|691.12.PEG.1545;BA890_RS05395
582;FIG|691.12.PEG.1546;BA890_RS05390
583;FIG|691.12.PEG.1547;BA890_RS05385
584;FIG|691.12.PEG.1548;BA890_RS05380
585;FIG|691.12.PEG.1549;BA890_RS05375
586;FIG|691.12.PEG.155;BA890_RS12285
587;FIG|691.12.PEG.1550;BA890_RS05370
588;FIG|691.12.PEG.1551;BA890_RS05365
589;FIG|691.12.PEG.1553;BA890_RS05360
590;FIG|691.12.PEG.1554;BA890_RS05355
591;FIG|691.12.PEG.1555;BA890_RS05350
592;FIG|691.12.PEG.1556;BA890_RS05345
593;FIG|691.12.PEG.1557;BA890_RS05340
594;FIG|691.12.PEG.1558;BA890_RS05335
595;FIG|691.12.PEG.1559;BA890_RS05330
596;FIG|691.12.PEG.156;BA890_RS12280
597;FIG|691.12.PEG.1560;BA890_RS05325
598;FIG|691.12.PEG.1561;BA890_RS05320
599;FIG|691.12.PEG.1562;BA890_RS05315
600;FIG|691.12.PEG.1563;BA890_RS05310
601;FIG|691.12.PEG.1564;BA890_RS05305
602;FIG|691.12.PEG.1565;BA890_RS05295
603;FIG|691.12.PEG.1566;BA890_RS05290
604;FIG|691.12.PEG.1567;BA890_RS05285
605;FIG|691.12.PEG.1568;BA890_RS05280
606;FIG|691.12.PEG.1569;BA890_RS05275
607;FIG|691.12.PEG.157;BA890_RS12275
608;FIG|691.12.PEG.1570;BA890_RS05270
609;FIG|691.12.PEG.1571;BA890_RS05265
610;FIG|691.12.PEG.1572;BA890_RS05260
611;FIG|691.12.PEG.1573;BA890_RS05255
612;FIG|691.12.PEG.1574;BA890_RS05250
613;FIG|691.12.PEG.1575;BA890_RS05245
614;FIG|691.12.PEG.1576;BA890_RS05240
615;FIG|691.12.PEG.1577;BA890_RS05235
616;FIG|691.12.PEG.1578;BA890_RS05230
617;FIG|691.12.PEG.1579;BA890_RS05225
618;FIG|691.12.PEG.158;BA890_RS12270
619;FIG|691.12.PEG.1580;BA890_RS05220
620;FIG|691.12.PEG.1581;BA890_RS05215
621;FIG|691.12.PEG.1582;BA890_RS05210
622;FIG|691.12.PEG.1583;BA890_RS05205
623;FIG|691.12.PEG.1584;BA890_RS05200
624;FIG|691.12.PEG.1585;BA890_RS05195
625;FIG|691.12.PEG.1586;BA890_RS05185
626;FIG|691.12.PEG.1587;BA890_RS05180
627;FIG|691.12.PEG.1589;BA890_RS05175
628;FIG|691.12.PEG.159;BA890_RS12265
629;FIG|691.12.PEG.1590;BA890_RS05170
630;FIG|691.12.PEG.1591;BA890_RS05165
631;FIG|691.12.PEG.1592;BA890_RS05160
632;FIG|691.12.PEG.1593;BA890_RS05155
633;FIG|691.12.PEG.1594;BA890_RS05150
634;FIG|691.12.PEG.1595;BA890_RS05145
635;FIG|691.12.PEG.1596;BA890_RS05140
636;FIG|691.12.PEG.1597;BA890_RS05135
637;FIG|691.12.PEG.1598;BA890_RS05130
638;FIG|691.12.PEG.16;BA890_RS14005
639;FIG|691.12.PEG.160;BA890_RS12260
640;FIG|691.12.PEG.1600;BA890_RS05125
641;FIG|691.12.PEG.1602;BA890_RS05120
642;FIG|691.12.PEG.1603;BA890_RS05115
643;FIG|691.12.PEG.1604;BA890_RS05110
644;FIG|691.12.PEG.1605;BA890_RS05105
645;FIG|691.12.PEG.1606;BA890_RS05100
646;FIG|691.12.PEG.1607;BA890_RS05095
647;FIG|691.12.PEG.1608;BA890_RS05090
648;FIG|691.12.PEG.1609;BA890_RS05085
649;FIG|691.12.PEG.161;BA890_RS12255
650;FIG|691.12.PEG.1610;BA890_RS05080
651;FIG|691.12.PEG.1612;BA890_RS05075
652;FIG|691.12.PEG.1613;BA890_RS05070
653;FIG|691.12.PEG.1614;BA890_RS05065
654;FIG|691.12.PEG.1615;BA890_RS05060
655;FIG|691.12.PEG.1616;BA890_RS05055
656;FIG|691.12.PEG.1617;BA890_RS05050
657;FIG|691.12.PEG.1618;BA890_RS05045
658;FIG|691.12.PEG.1619;BA890_RS05040
659;FIG|691.12.PEG.162;BA890_RS12250
660;FIG|691.12.PEG.1620;BA890_RS05035
661;FIG|691.12.PEG.1621;BA890_RS05030
662;FIG|691.12.PEG.1622;BA890_RS05025
663;FIG|691.12.PEG.1623;BA890_RS05020
664;FIG|691.12.PEG.1624;BA890_RS05015
665;FIG|691.12.PEG.1625;BA890_RS05010
666;FIG|691.12.PEG.1626;BA890_RS05005
667;FIG|691.12.PEG.1627;BA890_RS05000
668;FIG|691.12.PEG.1628;BA890_RS04995
669;FIG|691.12.PEG.1629;BA890_RS04990
670;FIG|691.12.PEG.163;BA890_RS12245
671;FIG|691.12.PEG.1630;BA890_RS04985
672;FIG|691.12.PEG.1631;BA890_RS04980
673;FIG|691.12.PEG.1632;BA890_RS04975
674;FIG|691.12.PEG.1633;BA890_RS04970
675;FIG|691.12.PEG.1634;BA890_RS04965
676;FIG|691.12.PEG.1635;BA890_RS04960
677;FIG|691.12.PEG.1636;BA890_RS04955
678;FIG|691.12.PEG.1637;BA890_RS04950
679;FIG|691.12.PEG.1638;BA890_RS04945
680;FIG|691.12.PEG.1639;BA890_RS04940
681;FIG|691.12.PEG.164;BA890_RS12240
682;FIG|691.12.PEG.1640;BA890_RS04930
683;FIG|691.12.PEG.1641;BA890_RS04925
684;FIG|691.12.PEG.1642;BA890_RS04920
685;FIG|691.12.PEG.1643;BA890_RS04915
686;FIG|691.12.PEG.1644;BA890_RS04910
687;FIG|691.12.PEG.1645;BA890_RS04905
688;FIG|691.12.PEG.1646;BA890_RS04900
689;FIG|691.12.PEG.1647;BA890_RS04895
690;FIG|691.12.PEG.1648;BA890_RS04890
691;FIG|691.12.PEG.1649;BA890_RS04885
692;FIG|691.12.PEG.165;BA890_RS12235
693;FIG|691.12.PEG.1650;BA890_RS04880
694;FIG|691.12.PEG.1651;BA890_RS04875
695;FIG|691.12.PEG.1652;BA890_RS04870
696;FIG|691.12.PEG.1653;BA890_RS04865
697;FIG|691.12.PEG.1654;BA890_RS04860
698;FIG|691.12.PEG.1655;BA890_RS04855
699;FIG|691.12.PEG.1656;BA890_RS04850
700;FIG|691.12.PEG.1657;BA890_RS04845
701;FIG|691.12.PEG.1658;BA890_RS04840
702;FIG|691.12.PEG.1659;BA890_RS04835
703;FIG|691.12.PEG.166;BA890_RS12230
704;FIG|691.12.PEG.1660;BA890_RS04830
705;FIG|691.12.PEG.1661;BA890_RS04825
706;FIG|691.12.PEG.1662;BA890_RS04820
707;FIG|691.12.PEG.1663;BA890_RS04815
708;FIG|691.12.PEG.1664;BA890_RS04810
709;FIG|691.12.PEG.1665;BA890_RS04805
710;FIG|691.12.PEG.1666;BA890_RS04800
711;FIG|691.12.PEG.1667;BA890_RS04795
712;FIG|691.12.PEG.1668;BA890_RS04790
713;FIG|691.12.PEG.1669;BA890_RS04785
714;FIG|691.12.PEG.167;BA890_RS12225
715;FIG|691.12.PEG.1670;BA890_RS04780
716;FIG|691.12.PEG.1671;BA890_RS04775
717;FIG|691.12.PEG.1672;BA890_RS04770
718;FIG|691.12.PEG.1673;BA890_RS04765
719;FIG|691.12.PEG.1674;BA890_RS04760
720;FIG|691.12.PEG.1675;BA890_RS04755
721;FIG|691.12.PEG.1676;BA890_RS04750
722;FIG|691.12.PEG.1677;BA890_RS04745
723;FIG|691.12.PEG.1678;BA890_RS04740
724;FIG|691.12.PEG.1679;BA890_RS04735
725;FIG|691.12.PEG.168;BA890_RS12220
726;FIG|691.12.PEG.1680;BA890_RS04730
727;FIG|691.12.PEG.1681;BA890_RS04725
728;FIG|691.12.PEG.1682;BA890_RS04720
729;FIG|691.12.PEG.1683;BA890_RS04715
730;FIG|691.12.PEG.1684;BA890_RS04710
731;FIG|691.12.PEG.1685;BA890_RS04705
732;FIG|691.12.PEG.1686;BA890_RS04700
733;FIG|691.12.PEG.1687;BA890_RS04695
734;FIG|691.12.PEG.1688;BA890_RS04690
735;FIG|691.12.PEG.1689;BA890_RS04685
736;FIG|691.12.PEG.169;BA890_RS12215
737;FIG|691.12.PEG.1690;BA890_RS04680
738;FIG|691.12.PEG.1691;BA890_RS04675
739;FIG|691.12.PEG.1692;BA890_RS04670
740;FIG|691.12.PEG.1693;BA890_RS04665
741;FIG|691.12.PEG.1694;BA890_RS04660
742;FIG|691.12.PEG.1695;BA890_RS04655
743;FIG|691.12.PEG.1696;BA890_RS04650
744;FIG|691.12.PEG.1697;BA890_RS04645
745;FIG|691.12.PEG.1698;BA890_RS04640
746;FIG|691.12.PEG.17;BA890_RS14000
747;FIG|691.12.PEG.170;BA890_RS12210
748;FIG|691.12.PEG.1700;BA890_RS04635
749;FIG|691.12.PEG.1701;BA890_RS04630
750;FIG|691.12.PEG.1702;BA890_RS04625
751;FIG|691.12.PEG.1703;BA890_RS04620
752;FIG|691.12.PEG.1704;BA890_RS04615
753;FIG|691.12.PEG.1705;BA890_RS04610
754;FIG|691.12.PEG.1706;BA890_RS04605
755;FIG|691.12.PEG.1707;BA890_RS04600
756;FIG|691.12.PEG.1708;BA890_RS04595
757;FIG|691.12.PEG.1709;BA890_RS04590
758;FIG|691.12.PEG.171;BA890_RS12200
759;FIG|691.12.PEG.1710;BA890_RS04585
760;FIG|691.12.PEG.1711;BA890_RS04580
761;FIG|691.12.PEG.1712;BA890_RS04575
762;FIG|691.12.PEG.1714;BA890_RS04565
763;FIG|691.12.PEG.1715;BA890_RS04560
764;FIG|691.12.PEG.1716;BA890_RS04550
765;FIG|691.12.PEG.1717;BA890_RS04545
766;FIG|691.12.PEG.1718;BA890_RS04540
767;FIG|691.12.PEG.1719;BA890_RS04535
768;FIG|691.12.PEG.172;BA890_RS12195
769;FIG|691.12.PEG.1720;BA890_RS04530
770;FIG|691.12.PEG.1721;BA890_RS04525
771;FIG|691.12.PEG.1722;BA890_RS04520
772;FIG|691.12.PEG.1723;BA890_RS04515
773;FIG|691.12.PEG.1724;BA890_RS04510
774;FIG|691.12.PEG.1725;BA890_RS04480
775;FIG|691.12.PEG.1726;BA890_RS04475
776;FIG|691.12.PEG.1727;BA890_RS04470
777;FIG|691.12.PEG.1728;BA890_RS04465
778;FIG|691.12.PEG.1729;BA890_RS04460
779;FIG|691.12.PEG.173;BA890_RS12190
780;FIG|691.12.PEG.1730;BA890_RS04455
781;FIG|691.12.PEG.1731;BA890_RS04450
782;FIG|691.12.PEG.1732;BA890_RS04445
783;FIG|691.12.PEG.1733;BA890_RS04440
784;FIG|691.12.PEG.1734;BA890_RS04435
785;FIG|691.12.PEG.1735;BA890_RS04430
786;FIG|691.12.PEG.1736;BA890_RS04425
787;FIG|691.12.PEG.1737;BA890_RS04420
788;FIG|691.12.PEG.1738;BA890_RS04415
789;FIG|691.12.PEG.1739;BA890_RS04410
790;FIG|691.12.PEG.174;BA890_RS12185
791;FIG|691.12.PEG.1740;BA890_RS04405
792;FIG|691.12.PEG.1741;BA890_RS04400
793;FIG|691.12.PEG.1742;BA890_RS04395
794;FIG|691.12.PEG.1743;BA890_RS04390
795;FIG|691.12.PEG.1744;BA890_RS04385
796;FIG|691.12.PEG.1745;BA890_RS04380
797;FIG|691.12.PEG.1746;BA890_RS04375
798;FIG|691.12.PEG.1747;BA890_RS04370
799;FIG|691.12.PEG.1748;BA890_RS04360
800;FIG|691.12.PEG.1749;BA890_RS04355
801;FIG|691.12.PEG.175;BA890_RS12180
802;FIG|691.12.PEG.1750;BA890_RS04345
803;FIG|691.12.PEG.1751;BA890_RS04340
804;FIG|691.12.PEG.1752;BA890_RS04335
805;FIG|691.12.PEG.1753;BA890_RS04330
806;FIG|691.12.PEG.1754;BA890_RS04325
807;FIG|691.12.PEG.1755;BA890_RS04320
808;FIG|691.12.PEG.1756;BA890_RS04315
809;FIG|691.12.PEG.1757;BA890_RS04310
810;FIG|691.12.PEG.1758;BA890_RS04305
811;FIG|691.12.PEG.1759;BA890_RS04300
812;FIG|691.12.PEG.176;BA890_RS12175
813;FIG|691.12.PEG.1760;BA890_RS04295
814;FIG|691.12.PEG.1761;BA890_RS04290
815;FIG|691.12.PEG.1762;BA890_RS04285
816;FIG|691.12.PEG.1763;BA890_RS04280
817;FIG|691.12.PEG.1764;BA890_RS04275
818;FIG|691.12.PEG.1765;BA890_RS04270
819;FIG|691.12.PEG.1766;BA890_RS04265
820;FIG|691.12.PEG.1767;BA890_RS04260
821;FIG|691.12.PEG.1768;BA890_RS04255
822;FIG|691.12.PEG.1769;BA890_RS04250
823;FIG|691.12.PEG.177;BA890_RS12170
824;FIG|691.12.PEG.1770;BA890_RS04245
825;FIG|691.12.PEG.1771;BA890_RS04240
826;FIG|691.12.PEG.1772;BA890_RS04235
827;FIG|691.12.PEG.1773;BA890_RS04230
828;FIG|691.12.PEG.1774;BA890_RS04220
829;FIG|691.12.PEG.1775;BA890_RS04215
830;FIG|691.12.PEG.1776;BA890_RS04210
831;FIG|691.12.PEG.1777;BA890_RS04205
832;FIG|691.12.PEG.1778;BA890_RS04200
833;FIG|691.12.PEG.1779;BA890_RS04195
834;FIG|691.12.PEG.178;BA890_RS12165
835;FIG|691.12.PEG.1780;BA890_RS04190
836;FIG|691.12.PEG.1781;BA890_RS04185
837;FIG|691.12.PEG.1782;BA890_RS04180
838;FIG|691.12.PEG.1783;BA890_RS04175
839;FIG|691.12.PEG.1784;BA890_RS04170
840;FIG|691.12.PEG.1785;BA890_RS04165
841;FIG|691.12.PEG.1786;BA890_RS04160
842;FIG|691.12.PEG.1787;BA890_RS04155
843;FIG|691.12.PEG.1788;BA890_RS04150
844;FIG|691.12.PEG.1789;BA890_RS04145
845;FIG|691.12.PEG.179;BA890_RS12160
846;FIG|691.12.PEG.1790;BA890_RS04140
847;FIG|691.12.PEG.1791;BA890_RS04135
848;FIG|691.12.PEG.1792;BA890_RS04130
849;FIG|691.12.PEG.1793;BA890_RS04125
850;FIG|691.12.PEG.1794;BA890_RS04120
851;FIG|691.12.PEG.1795;BA890_RS04115
852;FIG|691.12.PEG.1796;BA890_RS04110
853;FIG|691.12.PEG.1797;BA890_RS04105
854;FIG|691.12.PEG.1798;BA890_RS04100
855;FIG|691.12.PEG.1799;BA890_RS04095
856;FIG|691.12.PEG.18;BA890_RS13995
857;FIG|691.12.PEG.180;BA890_RS12155
858;FIG|691.12.PEG.1800;BA890_RS04090
859;FIG|691.12.PEG.1801;BA890_RS04085
860;FIG|691.12.PEG.1802;BA890_RS04080
861;FIG|691.12.PEG.1803;BA890_RS04075
862;FIG|691.12.PEG.1804;BA890_RS04070
863;FIG|691.12.PEG.1805;BA890_RS04065
864;FIG|691.12.PEG.1806;BA890_RS04060
865;FIG|691.12.PEG.1807;BA890_RS04055
866;FIG|691.12.PEG.1808;BA890_RS04050
867;FIG|691.12.PEG.1809;BA890_RS04045
868;FIG|691.12.PEG.181;BA890_RS12150
869;FIG|691.12.PEG.1810;BA890_RS04040
870;FIG|691.12.PEG.1811;BA890_RS04035
871;FIG|691.12.PEG.1812;BA890_RS04030
872;FIG|691.12.PEG.1813;BA890_RS04025
873;FIG|691.12.PEG.1814;BA890_RS04020
874;FIG|691.12.PEG.1815;BA890_RS04015
875;FIG|691.12.PEG.1816;BA890_RS04010
876;FIG|691.12.PEG.1817;BA890_RS04005
877;FIG|691.12.PEG.1818;BA890_RS04000
878;FIG|691.12.PEG.1819;BA890_RS03995
879;FIG|691.12.PEG.182;BA890_RS12145
880;FIG|691.12.PEG.1820;BA890_RS03990
881;FIG|691.12.PEG.1821;BA890_RS03985
882;FIG|691.12.PEG.1822;BA890_RS03980
883;FIG|691.12.PEG.1823;BA890_RS03975
884;FIG|691.12.PEG.1824;BA890_RS03970
885;FIG|691.12.PEG.1825;BA890_RS03965
886;FIG|691.12.PEG.1826;BA890_RS03960
887;FIG|691.12.PEG.1827;BA890_RS03955
888;FIG|691.12.PEG.1828;BA890_RS03950
889;FIG|691.12.PEG.1829;BA890_RS03945
890;FIG|691.12.PEG.183;BA890_RS12140
891;FIG|691.12.PEG.1830;BA890_RS03940
892;FIG|691.12.PEG.1831;BA890_RS03935
893;FIG|691.12.PEG.1832;BA890_RS03930
894;FIG|691.12.PEG.1833;BA890_RS03925
895;FIG|691.12.PEG.1834;BA890_RS03920
896;FIG|691.12.PEG.1835;BA890_RS03915
897;FIG|691.12.PEG.1836;BA890_RS03910
898;FIG|691.12.PEG.1837;BA890_RS03905
899;FIG|691.12.PEG.1838;BA890_RS03900
900;FIG|691.12.PEG.1839;BA890_RS03895
901;FIG|691.12.PEG.184;BA890_RS12135
902;FIG|691.12.PEG.1840;BA890_RS03890
903;FIG|691.12.PEG.1841;BA890_RS03885
904;FIG|691.12.PEG.1842;BA890_RS03880
905;FIG|691.12.PEG.1843;BA890_RS03875
906;FIG|691.12.PEG.1844;BA890_RS03870
907;FIG|691.12.PEG.1845;BA890_RS03865
908;FIG|691.12.PEG.1847;BA890_RS03860
909;FIG|691.12.PEG.1848;BA890_RS03855
910;FIG|691.12.PEG.1849;BA890_RS03850
911;FIG|691.12.PEG.185;BA890_RS12130
912;FIG|691.12.PEG.1850;BA890_RS03845
913;FIG|691.12.PEG.1851;BA890_RS03840
914;FIG|691.12.PEG.1852;BA890_RS03835
915;FIG|691.12.PEG.1853;BA890_RS03830
916;FIG|691.12.PEG.1854;BA890_RS03825
917;FIG|691.12.PEG.1855;BA890_RS03820
918;FIG|691.12.PEG.1856;BA890_RS03815
919;FIG|691.12.PEG.1857;BA890_RS03810
920;FIG|691.12.PEG.1858;BA890_RS03805
921;FIG|691.12.PEG.1859;BA890_RS03800
922;FIG|691.12.PEG.186;BA890_RS12125
923;FIG|691.12.PEG.1860;BA890_RS03795
924;FIG|691.12.PEG.1861;BA890_RS03790
925;FIG|691.12.PEG.1862;BA890_RS03785
926;FIG|691.12.PEG.1863;BA890_RS03780
927;FIG|691.12.PEG.1864;BA890_RS03775
928;FIG|691.12.PEG.1865;BA890_RS03770
929;FIG|691.12.PEG.1866;BA890_RS03765
930;FIG|691.12.PEG.1867;BA890_RS03760
931;FIG|691.12.PEG.1868;BA890_RS03755
932;FIG|691.12.PEG.1869;BA890_RS03750
933;FIG|691.12.PEG.187;BA890_RS12120
934;FIG|691.12.PEG.1870;BA890_RS03745
935;FIG|691.12.PEG.1871;BA890_RS03740
936;FIG|691.12.PEG.1872;BA890_RS03735
937;FIG|691.12.PEG.1873;BA890_RS03730
938;FIG|691.12.PEG.1874;BA890_RS03725
939;FIG|691.12.PEG.1875;BA890_RS03720
940;FIG|691.12.PEG.1876;BA890_RS03710
941;FIG|691.12.PEG.1877;BA890_RS03705
942;FIG|691.12.PEG.1878;BA890_RS03700
943;FIG|691.12.PEG.1879;BA890_RS03695
944;FIG|691.12.PEG.1880;BA890_RS03690
945;FIG|691.12.PEG.1881;BA890_RS03685
946;FIG|691.12.PEG.1882;BA890_RS03680
947;FIG|691.12.PEG.1883;BA890_RS03670
948;FIG|691.12.PEG.1884;BA890_RS03665
949;FIG|691.12.PEG.1885;BA890_RS03660
950;FIG|691.12.PEG.1886;BA890_RS03655
951;FIG|691.12.PEG.1887;BA890_RS03650
952;FIG|691.12.PEG.1888;BA890_RS03645
953;FIG|691.12.PEG.1889;BA890_RS03640
954;FIG|691.12.PEG.189;BA890_RS12065
955;FIG|691.12.PEG.1890;BA890_RS03635
956;FIG|691.12.PEG.1891;BA890_RS03630
957;FIG|691.12.PEG.1892;BA890_RS03625
958;FIG|691.12.PEG.1893;BA890_RS03620
959;FIG|691.12.PEG.1894;BA890_RS03615
960;FIG|691.12.PEG.1895;BA890_RS03610
961;FIG|691.12.PEG.1896;BA890_RS03605
962;FIG|691.12.PEG.1897;BA890_RS03600
963;FIG|691.12.PEG.1898;BA890_RS03595
964;FIG|691.12.PEG.1899;BA890_RS03485
965;FIG|691.12.PEG.19;BA890_RS13990
966;FIG|691.12.PEG.190;BA890_RS12060
967;FIG|691.12.PEG.1900;BA890_RS03480
968;FIG|691.12.PEG.1901;BA890_RS03475
969;FIG|691.12.PEG.1902;BA890_RS03470
970;FIG|691.12.PEG.1903;BA890_RS03465
971;FIG|691.12.PEG.1904;BA890_RS03460
972;FIG|691.12.PEG.1905;BA890_RS03455
973;FIG|691.12.PEG.1906;BA890_RS03450
974;FIG|691.12.PEG.1907;BA890_RS03445
975;FIG|691.12.PEG.1908;BA890_RS03440
976;FIG|691.12.PEG.1909;BA890_RS03435
977;FIG|691.12.PEG.191;BA890_RS12055
978;FIG|691.12.PEG.1910;BA890_RS03430
979;FIG|691.12.PEG.1911;BA890_RS03425
980;FIG|691.12.PEG.1912;BA890_RS03420
981;FIG|691.12.PEG.1913;BA890_RS03415
982;FIG|691.12.PEG.1914;BA890_RS03410
983;FIG|691.12.PEG.1915;BA890_RS03405
984;FIG|691.12.PEG.1916;BA890_RS03400
985;FIG|691.12.PEG.1917;BA890_RS03395
986;FIG|691.12.PEG.1918;BA890_RS03390
987;FIG|691.12.PEG.1919;BA890_RS03385
988;FIG|691.12.PEG.192;BA890_RS12050
989;FIG|691.12.PEG.1920;BA890_RS03380
990;FIG|691.12.PEG.1921;BA890_RS03375
991;FIG|691.12.PEG.1922;BA890_RS03370
992;FIG|691.12.PEG.1923;BA890_RS03365
993;FIG|691.12.PEG.1924;BA890_RS03360
994;FIG|691.12.PEG.1925;BA890_RS03355
995;FIG|691.12.PEG.1926;BA890_RS03350
996;FIG|691.12.PEG.1927;BA890_RS03345
997;FIG|691.12.PEG.1928;BA890_RS03340
998;FIG|691.12.PEG.1929;BA890_RS03335
999;FIG|691.12.PEG.193;BA890_RS12045
1000;FIG|691.12.PEG.1930;BA890_RS03330
1001;FIG|691.12.PEG.1931;BA890_RS03325
1002;FIG|691.12.PEG.1932;BA890_RS03320
1003;FIG|691.12.PEG.1933;BA890_RS03315
1004;FIG|691.12.PEG.1934;BA890_RS03310
1005;FIG|691.12.PEG.1935;BA890_RS03305
1006;FIG|691.12.PEG.1936;BA890_RS03300
1007;FIG|691.12.PEG.1937;BA890_RS03295
1008;FIG|691.12.PEG.1938;BA890_RS03290
1009;FIG|691.12.PEG.1939;BA890_RS03285
1010;FIG|691.12.PEG.194;BA890_RS12040
1011;FIG|691.12.PEG.1940;BA890_RS03280
1012;FIG|691.12.PEG.1941;BA890_RS03275
1013;FIG|691.12.PEG.1942;BA890_RS03270
1014;FIG|691.12.PEG.1943;BA890_RS03265
1015;FIG|691.12.PEG.1944;BA890_RS03260
1016;FIG|691.12.PEG.1945;BA890_RS03255
1017;FIG|691.12.PEG.1946;BA890_RS03250
1018;FIG|691.12.PEG.1947;BA890_RS03245
1019;FIG|691.12.PEG.1948;BA890_RS03240
1020;FIG|691.12.PEG.1949;BA890_RS03235
1021;FIG|691.12.PEG.195;BA890_RS12035
1022;FIG|691.12.PEG.1950;BA890_RS03230
1023;FIG|691.12.PEG.1951;BA890_RS03225
1024;FIG|691.12.PEG.1952;BA890_RS03220
1025;FIG|691.12.PEG.1953;BA890_RS03215
1026;FIG|691.12.PEG.1954;BA890_RS03210
1027;FIG|691.12.PEG.1955;BA890_RS03205
1028;FIG|691.12.PEG.1956;BA890_RS03200
1029;FIG|691.12.PEG.1957;BA890_RS03195
1030;FIG|691.12.PEG.1958;BA890_RS03190
1031;FIG|691.12.PEG.1959;BA890_RS03185
1032;FIG|691.12.PEG.196;BA890_RS12030
1033;FIG|691.12.PEG.1960;BA890_RS03180
1034;FIG|691.12.PEG.1961;BA890_RS03175
1035;FIG|691.12.PEG.1962;BA890_RS03170
1036;FIG|691.12.PEG.1963;BA890_RS03165
1037;FIG|691.12.PEG.1964;BA890_RS03160
1038;FIG|691.12.PEG.1965;BA890_RS03155
1039;FIG|691.12.PEG.1966;BA890_RS03150
1040;FIG|691.12.PEG.1968;BA890_RS03145
1041;FIG|691.12.PEG.1969;BA890_RS03140
1042;FIG|691.12.PEG.197;BA890_RS12025
1043;FIG|691.12.PEG.1970;BA890_RS03135
1044;FIG|691.12.PEG.1971;BA890_RS03130
1045;FIG|691.12.PEG.1972;BA890_RS03125
1046;FIG|691.12.PEG.1973;BA890_RS03120
1047;FIG|691.12.PEG.1974;BA890_RS03115
1048;FIG|691.12.PEG.1975;BA890_RS03110
1049;FIG|691.12.PEG.1976;BA890_RS03105
1050;FIG|691.12.PEG.1977;BA890_RS03100
1051;FIG|691.12.PEG.1978;BA890_RS03095
1052;FIG|691.12.PEG.1979;BA890_RS03090
1053;FIG|691.12.PEG.198;BA890_RS12020
1054;FIG|691.12.PEG.1980;BA890_RS03085
1055;FIG|691.12.PEG.1981;BA890_RS03080
1056;FIG|691.12.PEG.1982;BA890_RS03075
1057;FIG|691.12.PEG.1983;BA890_RS03070
1058;FIG|691.12.PEG.1984;BA890_RS03065
1059;FIG|691.12.PEG.1985;BA890_RS03055
1060;FIG|691.12.PEG.1986;BA890_RS03050
1061;FIG|691.12.PEG.1987;BA890_RS03045
1062;FIG|691.12.PEG.1988;BA890_RS03040
1063;FIG|691.12.PEG.1989;BA890_RS03035
1064;FIG|691.12.PEG.199;BA890_RS12015
1065;FIG|691.12.PEG.1990;BA890_RS03030
1066;FIG|691.12.PEG.1991;BA890_RS03025
1067;FIG|691.12.PEG.1992;BA890_RS03020
1068;FIG|691.12.PEG.1993;BA890_RS03015
1069;FIG|691.12.PEG.1994;BA890_RS03010
1070;FIG|691.12.PEG.1995;BA890_RS03005
1071;FIG|691.12.PEG.1996;BA890_RS03000
1072;FIG|691.12.PEG.1997;BA890_RS02995
1073;FIG|691.12.PEG.1998;BA890_RS02990
1074;FIG|691.12.PEG.1999;BA890_RS02985
1075;FIG|691.12.PEG.2;BA890_RS14095
