,FIG,NCBI_protein_ID,NCBI_chr,NCBI_locus,NCBI_protein_desc,NCBI_location
1266,FIG|691.12.PEG.1319,ALR15713.1,CP009977.1,PN96_06845,L-cystine transporter tcyP,1490328..1491707
1267,FIG|691.12.PEG.1320,ALR15714.1,CP009977.1,PN96_06850,acetyltransferase,complement(1491901..1492374)
1268,FIG|691.12.PEG.1321,ALR15715.1,CP009977.1,PN96_06855,hypothetical protein,complement(1492564..1493181)
1269,FIG|691.12.PEG.1322,ALR15716.1,CP009977.1,PN96_06860,SAM-dependent methyltransferase,complement(1493531..1494259)
1270,FIG|691.12.PEG.1323,ALR15718.1,CP009977.1,PN96_06870,hypothetical protein,complement(1495256..1495765)
1271,FIG|691.12.PEG.1324,ALR15719.1,CP009977.1,PN96_06875,hypothetical protein,complement(1495937..1496122)
1272,FIG|691.12.PEG.1325,ALR15720.1,CP009977.1,PN96_06880,hypothetical protein,complement(1496811..1498127)
1273,FIG|691.12.PEG.1327,ALR15721.1,CP009977.1,PN96_06890,hypothetical protein,complement(1498896..1500590)
1274,FIG|691.12.PEG.1328,ALR15722.1,CP009977.1,PN96_06895,hypothetical protein,complement(1500597..1505585)
1275,FIG|691.12.PEG.1329,ALR15723.1,CP009977.1,PN96_06900,hypothetical protein,complement(1505589..1506140)
1276,FIG|691.12.PEG.1332,ALR15725.1,CP009977.1,PN96_06910,hypothetical protein,complement(1506733..1508964)
1277,FIG|691.12.PEG.1333,ALR15726.1,CP009977.1,PN96_06915,minor tail protein T,complement(1508945..1509229)
1278,FIG|691.12.PEG.1334,ALR15727.1,CP009977.1,PN96_06920,hypothetical protein,complement(1509295..1509735)
1279,FIG|691.12.PEG.1335,ALR15728.1,CP009977.1,PN96_06925,tail fiber protein,complement(1509741..1510241)
1280,FIG|691.12.PEG.1336,ALR15729.1,CP009977.1,PN96_06930,phage minor tail U family protein,complement(1510244..1510690)
1281,FIG|691.12.PEG.1337,ALR15730.1,CP009977.1,PN96_06935,tail protein,complement(1510680..1511312)
1282,FIG|691.12.PEG.1338,ALR15731.1,CP009977.1,PN96_06940,ATP-binding sugar transporter from pro-phage family protein,complement(1511309..1511587)
1283,FIG|691.12.PEG.1339,ALR15732.1,CP009977.1,PN96_06945,hypothetical protein,complement(1511580..1511771)
1284,FIG|691.12.PEG.1340,ALR15733.1,CP009977.1,PN96_06950,"phage major capsid protein, HK97 family",complement(1511832..1513802)
1285,FIG|691.12.PEG.1341,ALR15734.1,CP009977.1,PN96_06955,phage portal protein,complement(1513774..1515327)
1286,FIG|691.12.PEG.1342,ALR15735.1,CP009977.1,PN96_06960,hypothetical protein,complement(1515327..1515854)
1287,FIG|691.12.PEG.1343,ALR15736.1,CP009977.1,PN96_06965,terminase,complement(1515848..1517662)
1288,FIG|691.12.PEG.1344,ALR15737.1,CP009977.1,PN96_06970,hypothetical protein,complement(1517796..1518365)
1289,FIG|691.12.PEG.1345,ALR15738.1,CP009977.1,PN96_06975,integrase,complement(1518804..1520018)
1290,FIG|691.12.PEG.1346,ALR15739.1,CP009977.1,PN96_06980,hypothetical protein,complement(1520138..1520323)
1291,FIG|691.12.PEG.1347,ALR15740.1,CP009977.1,PN96_06985,hypothetical protein,complement(1520365..1520823)
1292,FIG|691.12.PEG.1348,ALR15741.1,CP009977.1,PN96_06990,hypothetical protein,complement(1520789..1521070)
1293,FIG|691.12.PEG.1349,ALR15742.1,CP009977.1,PN96_06995,hypothetical protein,complement(1521200..1521877)
1294,FIG|691.12.PEG.1350,ALR15743.1,CP009977.1,PN96_07000,hypothetical protein,complement(1521931..1522368)
1295,FIG|691.12.PEG.1351,ALR15744.1,CP009977.1,PN96_07005,hypothetical protein,complement(1522726..1523409)
1296,FIG|691.12.PEG.1352,ALR15746.1,CP009977.1,PN96_07015,hypothetical protein,complement(1524337..1524918)
1297,FIG|691.12.PEG.1353,ALR15747.1,CP009977.1,PN96_07020,DNA biosynthesis protein,complement(1524919..1525650)
1298,FIG|691.12.PEG.1354,ALR15748.1,CP009977.1,PN96_07025,bacteriophage replication domain protein,complement(1525647..1526420)
1299,FIG|691.12.PEG.1356,ALR15749.1,CP009977.1,PN96_07030,hypothetical protein,complement(1526633..1527181)
1300,FIG|691.12.PEG.1357,ALR15750.1,CP009977.1,PN96_07035,repressor,1527552..1528220
1301,FIG|691.12.PEG.1359,ALR15752.1,CP009977.1,PN96_07045,hypothetical protein,1529195..1529467
1302,FIG|691.12.PEG.1360,ALR15753.1,CP009977.1,PN96_07050,hypothetical protein,1529629..1529871
1303,FIG|691.12.PEG.1361,ALR15754.1,CP009977.1,PN96_07055,hypothetical protein,1529868..1530269
1304,FIG|691.12.PEG.1363,ALR17227.1,CP009977.1,PN96_07060,hypothetical protein,1530473..1530748
1305,FIG|691.12.PEG.1364,ALR15756.1,CP009977.1,PN96_07070,hypothetical protein,complement(1531854..1532177)
1306,FIG|691.12.PEG.1365,ALR15757.1,CP009977.1,PN96_07075,hypothetical protein,complement(1532267..1533310)
1307,FIG|691.12.PEG.1366,ALR15758.1,CP009977.1,PN96_07080,hypothetical protein,complement(1533423..1534268)
1308,FIG|691.12.PEG.1367,ALR15759.1,CP009977.1,PN96_07085,integrase,complement(1534415..1535611)
1309,FIG|691.12.PEG.1369,ALR15760.1,CP009977.1,PN96_07090,exonuclease I,1535794..1537215
1310,FIG|691.12.PEG.1370,ALR15761.1,CP009977.1,PN96_07095,membrane protein,1537274..1537648
1311,FIG|691.12.PEG.1371,ALR15762.1,CP009977.1,PN96_07100,membrane protein,1537650..1538327
1312,FIG|691.12.PEG.1372,ALR15763.1,CP009977.1,PN96_07105,cytidine deaminase,1538657..1539544
1313,FIG|691.12.PEG.1373,ALR15764.1,CP009977.1,PN96_07110,phosphoribosylglycinamide formyltransferase 2,1539692..1540867
1314,FIG|691.12.PEG.1374,ALR15765.1,CP009977.1,PN96_07115,thiopurine S-methyltransferase,complement(1540959..1541609)
1315,FIG|691.12.PEG.1375,ALR15766.1,CP009977.1,PN96_07120,phosphoribosylglycinamide formyltransferase,1541925..1542701
1316,FIG|691.12.PEG.1376,ALR15767.1,CP009977.1,PN96_07125,integration host factor subunit alpha,complement(1542819..1543115)
1317,FIG|691.12.PEG.1377,ALR15768.1,CP009977.1,PN96_07130,membrane protein,1543658..1544536
1318,FIG|691.12.PEG.1378,ALR15769.1,CP009977.1,PN96_07135,sucrose operon repressor,complement(1544554..1545549)
1319,FIG|691.12.PEG.1380,ALR15771.1,CP009977.1,PN96_07145,fructokinase,1545794..1546711
1320,FIG|691.12.PEG.1381,ALR15772.1,CP009977.1,PN96_07150,sucrose-6-phosphate hydrolase,complement(1546775..1548406)
1321,FIG|691.12.PEG.1382,ALR15773.1,CP009977.1,PN96_07155,phenylalanine--tRNA ligase,complement(1548686..1551088)
1322,FIG|691.12.PEG.1383,ALR15774.1,CP009977.1,PN96_07160,phenylalanine--tRNA ligase alpha subunit,complement(1551107..1552090)
1323,FIG|691.12.PEG.1384,ALR15775.1,CP009977.1,PN96_07165,hypothetical protein,complement(1552470..1553279)
1324,FIG|691.12.PEG.1385,ALR15776.1,CP009977.1,PN96_07170,50S ribosomal protein L20,complement(1553921..1554274)
1325,FIG|691.12.PEG.1386,ALR15777.1,CP009977.1,PN96_07175,50S ribosomal protein L35,complement(1554315..1554509)
1326,FIG|691.12.PEG.1387,ALR15778.1,CP009977.1,PN96_07180,translation initiation factor IF-3,complement(1554631..1555020)
1327,FIG|691.12.PEG.1388,ALR15779.1,CP009977.1,PN96_07185,threonine--tRNA ligase,complement(1555186..1557114)
1328,FIG|691.12.PEG.1389,ALR15780.1,CP009977.1,PN96_07190,outer membrane beta-barrel domain protein,1557433..1558419
1329,FIG|691.12.PEG.1390,ALR15781.1,CP009977.1,PN96_07195,Gram-positive sporulation control protein Spo0M,complement(1558424..1559167)
1330,FIG|691.12.PEG.1391,ALR15782.1,CP009977.1,PN96_07200,histidine utilization repressor,1559431..1560138
1331,FIG|691.12.PEG.1392,ALR15783.1,CP009977.1,PN96_07205,imidazolonepropionase,1560266..1561516
1332,FIG|691.12.PEG.1393,ALR15784.1,CP009977.1,PN96_07210,formimidoylglutamase,1561518..1562516
1333,FIG|691.12.PEG.1394,ALR15785.1,CP009977.1,PN96_07215,hypothetical protein,1562817..1563542
1334,FIG|691.12.PEG.1395,ALR15786.1,CP009977.1,PN96_07220,hypothetical protein,complement(1563610..1564596)
1335,FIG|691.12.PEG.1396,ALR15787.1,CP009977.1,PN96_07225,dioxygenase,complement(1564614..1565438)
1336,FIG|691.12.PEG.1397,ALR15788.1,CP009977.1,PN96_07230,LysR family transcriptional regulator,1565585..1566487
1337,FIG|691.12.PEG.1398,ALR15789.1,CP009977.1,PN96_07235,hypothetical protein,complement(1566532..1566993)
1338,FIG|691.12.PEG.1399,ALR15790.1,CP009977.1,PN96_07240,membrane protein,complement(1567073..1570108)
1339,FIG|691.12.PEG.1400,ALR15791.1,CP009977.1,PN96_07245,chemotaxis protein CheX,1570373..1571053
1340,FIG|691.12.PEG.1401,ALR15792.1,CP009977.1,PN96_07250,transcriptional regulator,1571242..1571937
1341,FIG|691.12.PEG.1402,ALR15793.1,CP009977.1,PN96_07255,membrane protein,1572132..1572800
1342,FIG|691.12.PEG.1403,ALR15794.1,CP009977.1,PN96_07260,molecular chaperone DnaJ,1572876..1573832
1343,FIG|691.12.PEG.1404,ALR15795.1,CP009977.1,PN96_07265,hypothetical protein,1574010..1574195
1344,FIG|691.12.PEG.1405,ALR15796.1,CP009977.1,PN96_07270,50S ribosomal protein L7ae,1574562..1574954
1345,FIG|691.12.PEG.1406,ALR15797.1,CP009977.1,PN96_07275,phosphoribosylaminoimidazole-succinocarboxamide synthase,1575172..1576275
1346,FIG|691.12.PEG.1407,ALR15798.1,CP009977.1,PN96_07280,alkaline phosphatase,complement(1576358..1578031)
1347,FIG|691.12.PEG.1408,ALR15799.1,CP009977.1,PN96_07285,transporter,complement(1578398..1578775)
1348,FIG|691.12.PEG.1409,ALR15800.1,CP009977.1,PN96_07290,DEAD/DEAH box helicase,complement(1579062..1581416)
1349,FIG|691.12.PEG.1410,ALR15801.1,CP009977.1,PN96_07295,malate dehydrogenase,1581656..1583344
1350,FIG|691.12.PEG.1411,ALR15802.1,CP009977.1,PN96_07300,SanA protein,1583519..1584241
1351,FIG|691.12.PEG.1412,ALR15803.1,CP009977.1,PN96_07305,Anion transporter,1584451..1585821
1352,FIG|691.12.PEG.1413,ALR15804.1,CP009977.1,PN96_07310,hypothetical protein,1586028..1586852
1353,FIG|691.12.PEG.1414,ALR15805.1,CP009977.1,PN96_07315,cysteine desulfurase,complement(1586924..1588159)
1354,FIG|691.12.PEG.1415,ALR15806.1,CP009977.1,PN96_07320,agglutination protein,complement(1588143..1588802)
1355,FIG|691.12.PEG.1416,ALR15807.1,CP009977.1,PN96_07325,thioredoxin reductase,1589160..1590119
1356,FIG|691.12.PEG.1417,ALR15808.1,CP009977.1,PN96_07330,cysteine ABC transporter ATP-binding protein,1590223..1592010
1357,FIG|691.12.PEG.1418,ALR15809.1,CP009977.1,PN96_07335,amino acid ABC transporter permease,1592003..1593724
1358,FIG|691.12.PEG.1419,ALR15810.1,CP009977.1,PN96_07340,D-serine dehydratase,complement(1593778..1595115)
1359,FIG|691.12.PEG.1420,ALR15811.1,CP009977.1,PN96_07345,MFS transporter,complement(1595262..1596365)
1360,FIG|691.12.PEG.1421,ALR15812.1,CP009977.1,PN96_07350,hypothetical protein,complement(1596618..1597883)
1361,FIG|691.12.PEG.1422,ALR17228.1,CP009977.1,PN96_07355,ATPase,1598070..1600010
1362,FIG|691.12.PEG.1423,ALR15813.1,CP009977.1,PN96_07360,chemotaxis protein CheY,1600007..1600504
1363,FIG|691.12.PEG.1424,ALR15814.1,CP009977.1,PN96_07365,hypothetical protein,1600703..1601248
1364,FIG|691.12.PEG.1425,ALR15815.1,CP009977.1,PN96_07370,DNA transformation protein,complement(1601423..1602010)
1365,FIG|691.12.PEG.1426,ALR15816.1,CP009977.1,PN96_07375,histidine kinase,1602381..1603301
1366,FIG|691.12.PEG.1427,ALR15817.1,CP009977.1,PN96_07380,membrane protein,1603412..1604317
1367,FIG|691.12.PEG.1428,ALR15818.1,CP009977.1,PN96_07385,hypothetical protein,1604532..1605044
1368,FIG|691.12.PEG.1429,ALR15819.1,CP009977.1,PN96_07390,glutamate decarboxylase,1605298..1606944
1369,FIG|691.12.PEG.1430,ALR15820.1,CP009977.1,PN96_07395,transcriptional regulator,1607256..1608110
1370,FIG|691.12.PEG.1431,ALR15821.1,CP009977.1,PN96_07400,alcohol dehydrogenase,complement(1608172..1609413)
1371,FIG|691.12.PEG.1432,ALR15822.1,CP009977.1,PN96_07405,glutaredoxin,1609712..1609981
1372,FIG|691.12.PEG.1433,ALR15823.1,CP009977.1,PN96_07410,transporter,1610162..1611844
1373,FIG|691.12.PEG.1434,ALR15824.1,CP009977.1,PN96_07415,trans-2-enoyl-CoA reductase,complement(1611947..1613149)
1374,FIG|691.12.PEG.1435,ALR15825.1,CP009977.1,PN96_07420,acyl-CoA dehydrogenase,complement(1613328..1615610)
1375,FIG|691.12.PEG.1436,ALR15826.1,CP009977.1,PN96_07425,TetR family transcriptional regulator,complement(1615690..1616316)
1376,FIG|691.12.PEG.1437,ALR15827.1,CP009977.1,PN96_07430,pH-dependent sodium/proton antiporter,complement(1616858..1618009)
1377,FIG|691.12.PEG.1438,ALR15828.1,CP009977.1,PN96_07435,ABC transporter,complement(1618362..1619483)
1378,FIG|691.12.PEG.1439,ALR15829.1,CP009977.1,PN96_07440,ABC transporter permease,complement(1619483..1621936)
1379,FIG|691.12.PEG.1440,ALR15830.1,CP009977.1,PN96_07445,ABC transporter ATP-binding protein,complement(1621917..1622588)
1380,FIG|691.12.PEG.1441,ALR15831.1,CP009977.1,PN96_07450,multidrug transporter MatE,complement(1622782..1624158)
1381,FIG|691.12.PEG.1442,ALR15832.1,CP009977.1,PN96_07455,hypothetical protein,1624253..1625695
1382,FIG|691.12.PEG.1443,ALR15833.1,CP009977.1,PN96_07460,cytochrome C,complement(1625734..1626336)
1383,FIG|691.12.PEG.1444,ALR15834.1,CP009977.1,PN96_07465,cytochrome C biogenesis protein CcmH,complement(1626367..1626990)
1384,FIG|691.12.PEG.1445,ALR15835.1,CP009977.1,PN96_07470,cytochrome C,1627556..1629868
1385,FIG|691.12.PEG.1446,ALR15836.1,CP009977.1,PN96_07475,cystathionine beta-synthase,1629921..1630907
1386,FIG|691.12.PEG.1447,ALR15837.1,CP009977.1,PN96_07480,membrane protein,1630918..1632900
1387,FIG|691.12.PEG.1449,ALR15838.1,CP009977.1,PN96_07485,alpha-acetolactate decarboxylase,complement(1632976..1633635)
1388,FIG|691.12.PEG.1450,ALR15839.1,CP009977.1,PN96_07490,multidrug transporter,complement(1633635..1634837)
1389,FIG|691.12.PEG.1451,ALR15840.1,CP009977.1,PN96_07495,16S rRNA pseudouridylate synthase,complement(1635276..1635977)
1390,FIG|691.12.PEG.1452,ALR15841.1,CP009977.1,PN96_07500,carboxylate--amine ligase,1636099..1637850
1391,FIG|691.12.PEG.1453,ALR15842.1,CP009977.1,PN96_07505,membrane protein,1637983..1638417
1392,FIG|691.12.PEG.1454,ALR15843.1,CP009977.1,PN96_07510,transcriptional regulator,1638429..1639088
1393,FIG|691.12.PEG.1455,ALR15844.1,CP009977.1,PN96_07515,histidine kinase,1639078..1640427
1394,FIG|691.12.PEG.1456,ALR17229.1,CP009977.1,PN96_07520,50S ribosomal protein L25,1640712..1640990
1395,FIG|691.12.PEG.1457,ALR15845.1,CP009977.1,PN96_07525,5'-nucleotidase,1641494..1643197
1396,FIG|691.12.PEG.1458,ALR15846.1,CP009977.1,PN96_07530,hypothetical protein,1643617..1643844
1397,FIG|691.12.PEG.1459,ALR15847.1,CP009977.1,PN96_07535,Fe-S protein,complement(1643944..1644192)
1398,FIG|691.12.PEG.1460,ALR15848.1,CP009977.1,PN96_07540,heat shock protein HslJ,1644371..1644817
1399,FIG|691.12.PEG.1461,ALR15849.1,CP009977.1,PN96_07545,hypothetical protein,1645179..1646324
1400,FIG|691.12.PEG.1462,ALR15850.1,CP009977.1,PN96_07550,thiamine ABC transporter permease,1646334..1648043
1401,FIG|691.12.PEG.1463,ALR15851.1,CP009977.1,PN96_07555,ABC transporter ATP-binding protein,1648009..1648656
1402,FIG|691.12.PEG.1464,ALR15852.1,CP009977.1,PN96_07560,membrane protein,1648649..1649260
1403,FIG|691.12.PEG.1465,ALR15853.1,CP009977.1,PN96_07565,membrane protein,1649385..1649861
1404,FIG|691.12.PEG.1466,ALR15854.1,CP009977.1,PN96_07570,transcriptional regulator,1650072..1651601
1405,FIG|691.12.PEG.1467,ALR15855.1,CP009977.1,PN96_07575,hydroxylamine reductase,1651776..1653437
1406,FIG|691.12.PEG.1468,ALR15856.1,CP009977.1,PN96_07580,oxidoreductase,1653521..1654576
1407,FIG|691.12.PEG.1469,ALR15857.1,CP009977.1,PN96_07585,methyltransferase,complement(1654670..1655602)
1408,FIG|691.12.PEG.1470,ALR15858.1,CP009977.1,PN96_07590,pseudouridine synthase,complement(1655633..1656325)
1409,FIG|691.12.PEG.1471,ALR15859.1,CP009977.1,PN96_07595,Na+-dependent transporter,complement(1656534..1657961)
1410,FIG|691.12.PEG.1472,ALR15860.1,CP009977.1,PN96_07600,cardiolipin synthetase,1658330..1659784
1411,FIG|691.12.PEG.1473,ALR15861.1,CP009977.1,PN96_07605,cystathionine beta-lyase,1660024..1661229
1412,FIG|691.12.PEG.1474,ALR15862.1,CP009977.1,PN96_07610,DNA-3-methyladenine glycosidase,complement(1661289..1661858)
1413,FIG|691.12.PEG.1475,ALR15863.1,CP009977.1,PN96_07615,multidrug transporter AcrB,complement(1661922..1665023)
1414,FIG|691.12.PEG.1476,ALR15864.1,CP009977.1,PN96_07620,hemolysin secretion protein D,complement(1665020..1666105)
1415,FIG|691.12.PEG.1477,ALR15865.1,CP009977.1,PN96_07625,acriflavin resistance protein,complement(1666107..1667138)
1416,FIG|691.12.PEG.1478,ALR15866.1,CP009977.1,PN96_07630,phage-shock protein,complement(1667298..1667687)
1417,FIG|691.12.PEG.1479,ALR15867.1,CP009977.1,PN96_07635,phage-shock protein,complement(1667680..1667913)
1418,FIG|691.12.PEG.1480,ALR15868.1,CP009977.1,PN96_07640,phage-shock protein,complement(1667928..1668599)
1419,FIG|691.12.PEG.1481,ALR15869.1,CP009977.1,PN96_07645,ATPase AAA,1668832..1669839
1420,FIG|691.12.PEG.1482,ALR15870.1,CP009977.1,PN96_07650,ABC transporter substrate-binding protein,1670076..1671695
1421,FIG|691.12.PEG.1483,ALR15871.1,CP009977.1,PN96_07655,peptide ABC transporter permease,1671695..1672657
1422,FIG|691.12.PEG.1484,ALR15872.1,CP009977.1,PN96_07660,peptide ABC transporter permease,1672644..1673531
1423,FIG|691.12.PEG.1485,ALR15873.1,CP009977.1,PN96_07665,peptide ABC transporter ATP-binding protein,1673531..1674526
1424,FIG|691.12.PEG.1486,ALR15874.1,CP009977.1,PN96_07670,peptide ABC transporter ATP-binding protein,1674523..1675311
1425,FIG|691.12.PEG.1487,ALR15875.1,CP009977.1,PN96_07675,phage-shock protein,complement(1675378..1675767)
1426,FIG|691.12.PEG.1488,ALR15876.1,CP009977.1,PN96_07680,inorganic pyrophosphatase,complement(1675843..1676748)
1427,FIG|691.12.PEG.1489,ALR15877.1,CP009977.1,PN96_07685,hypothetical protein,1676944..1678158
1428,FIG|691.12.PEG.1490,ALR15878.1,CP009977.1,PN96_07690,alpha-galactosidase,complement(1678219..1679958)
1429,FIG|691.12.PEG.1491,ALR15879.1,CP009977.1,PN96_07695,trimethylamine N-oxide reductase I catalytic subunit,complement(1680189..1682651)
1430,FIG|691.12.PEG.1492,ALR15880.1,CP009977.1,PN96_07700,nitrate reductase,complement(1682677..1683861)
1431,FIG|691.12.PEG.1493,ALR15881.1,CP009977.1,PN96_07705,NapE,complement(1683912..1684091)
1432,FIG|691.12.PEG.1494,ALR15882.1,CP009977.1,PN96_07710,ABC transporter permease,1684532..1685335
1433,FIG|691.12.PEG.1496,ALR15883.1,CP009977.1,PN96_07715,formate transporter,complement(1685819..1686679)
1434,FIG|691.12.PEG.1497,ALR15884.1,CP009977.1,PN96_07720,DNA-binding protein,1686982..1687218
1435,FIG|691.12.PEG.1498,ALR15885.1,CP009977.1,PN96_07725,nucleoside-diphosphate sugar epimerase,1687531..1688358
1436,FIG|691.12.PEG.1499,ALR15886.1,CP009977.1,PN96_07730,hypothetical protein,1688355..1688993
1437,FIG|691.12.PEG.1500,ALR15887.1,CP009977.1,PN96_07735,thymidine kinase,complement(1689065..1689643)
1438,FIG|691.12.PEG.1501,ALR15888.1,CP009977.1,PN96_07740,cysteinyl-tRNA synthetase,complement(1689722..1691104)
1439,FIG|691.12.PEG.1502,ALR15889.1,CP009977.1,PN96_07745,peptidylprolyl isomerase,1691308..1691802
1440,FIG|691.12.PEG.1503,ALR15890.1,CP009977.1,PN96_07750,"UDP-2,3-diacylglucosamine hydrolase",1691863..1692591
1441,FIG|691.12.PEG.1504,ALR15891.1,CP009977.1,PN96_07755,histidine kinase,1692700..1693914
1442,FIG|691.12.PEG.1505,ALR15892.1,CP009977.1,PN96_07760,hypothetical protein,1694104..1694508
1443,FIG|691.12.PEG.1506,ALR15893.1,CP009977.1,PN96_07765,phosphoribosyl-ATP pyrophosphatase,complement(1694577..1695212)
1444,FIG|691.12.PEG.1507,ALR15894.1,CP009977.1,PN96_07770,imidazole glycerol phosphate synthase,complement(1695209..1695982)
1445,FIG|691.12.PEG.1508,ALR15895.1,CP009977.1,PN96_07775,1-(5-phosphoribosyl)-5-,complement(1695964..1696701)
1446,FIG|691.12.PEG.1509,ALR17230.1,CP009977.1,PN96_07780,imidazole glycerol phosphate synthase,complement(1696715..1697329)
1447,FIG|691.12.PEG.1510,ALR15896.1,CP009977.1,PN96_07785,imidazoleglycerol-phosphate dehydratase,complement(1697366..1698439)
1448,FIG|691.12.PEG.1511,ALR15897.1,CP009977.1,PN96_07790,histidinol-phosphate aminotransferase,complement(1698508..1699548)
1449,FIG|691.12.PEG.1512,ALR15898.1,CP009977.1,PN96_07795,histidinol dehydrogenase,complement(1699564..1700856)
1450,FIG|691.12.PEG.1513,ALR15899.1,CP009977.1,PN96_07800,ATP phosphoribosyltransferase,complement(1700862..1701758)
1451,FIG|691.12.PEG.1514,ALR17231.1,CP009977.1,PN96_07805,ATPase AAA,1702343..1703263
1452,FIG|691.12.PEG.1515,ALR15900.1,CP009977.1,PN96_07810,hypothetical protein,1703438..1705918
1453,FIG|691.12.PEG.1516,ALR15901.1,CP009977.1,PN96_07815,hypothetical protein,complement(1706021..1707622)
1454,FIG|691.12.PEG.1517,ALR15902.1,CP009977.1,PN96_07820,transcriptional regulator,1708504..1708911
1455,FIG|691.12.PEG.1518,ALR15903.1,CP009977.1,PN96_07825,guanosine kinase,complement(1709033..1710337)
1456,FIG|691.12.PEG.1519,ALR15904.1,CP009977.1,PN96_07830,hypothetical protein,complement(1710454..1710723)
1457,FIG|691.12.PEG.1520,ALR15905.1,CP009977.1,PN96_07835,tRNA 2-thiouridylase,1710915..1712039
1458,FIG|691.12.PEG.1521,ALR15906.1,CP009977.1,PN96_07840,lysogenization regulator,1712050..1712667
1459,FIG|691.12.PEG.1522,ALR15907.1,CP009977.1,PN96_07845,adenylosuccinate lyase,1712818..1714188
1460,FIG|691.12.PEG.1523,ALR17232.1,CP009977.1,PN96_07850,lipoprotein,complement(1714286..1714807)
1461,FIG|691.12.PEG.1524,ALR15908.1,CP009977.1,PN96_07855,periplasmic protein,complement(1714819..1715415)
1462,FIG|691.12.PEG.1525,ALR15909.1,CP009977.1,PN96_07860,zinc ABC transporter permease,complement(1715375..1715887)
1463,FIG|691.12.PEG.1526,ALR15910.1,CP009977.1,PN96_07865,cyclopropane-fatty-acyl-phospholipid synthase,complement(1715894..1717150)
1464,FIG|691.12.PEG.1527,ALR17233.1,CP009977.1,PN96_07870,plasmid partition ParA protein,complement(1717144..1717953)
1465,FIG|691.12.PEG.1528,ALR15911.1,CP009977.1,PN96_07875,FAD-dependent oxidoreductase,complement(1717955..1719247)
1466,FIG|691.12.PEG.1529,ALR15912.1,CP009977.1,PN96_07880,short-chain dehydrogenase,complement(1719261..1719986)
1467,FIG|691.12.PEG.1530,ALR15913.1,CP009977.1,PN96_07885,transcriptional regulator,complement(1719983..1720402)
1468,FIG|691.12.PEG.1531,ALR15914.1,CP009977.1,PN96_07890,heat shock protein HtpX,complement(1720606..1721475)
1469,FIG|691.12.PEG.1533,ALR15915.1,CP009977.1,PN96_07895,dethiobiotin synthetase,complement(1722026..1722709)
1470,FIG|691.12.PEG.1534,ALR15916.1,CP009977.1,PN96_07900,biotin synthase,complement(1722706..1723512)
1471,FIG|691.12.PEG.1535,ALR15917.1,CP009977.1,PN96_07905,8-amino-7-oxononanoate synthase,complement(1723512..1724663)
1472,FIG|691.12.PEG.1536,ALR15918.1,CP009977.1,PN96_07910,biotin synthase,complement(1724650..1725702)
1473,FIG|691.12.PEG.1537,ALR15919.1,CP009977.1,PN96_07915,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,1725832..1727109
1474,FIG|691.12.PEG.1538,ALR15920.1,CP009977.1,PN96_07920,seryl-tRNA synthetase,complement(1727193..1728500)
1475,FIG|691.12.PEG.1539,ALR15921.1,CP009977.1,PN96_07925,recombination factor protein RarA,complement(1728594..1729943)
1476,FIG|691.12.PEG.1540,ALR15922.1,CP009977.1,PN96_07930,membrane protein,complement(1729950..1730576)
1477,FIG|691.12.PEG.1541,ALR15923.1,CP009977.1,PN96_07935,cell division protein FtsK,complement(1730653..1733733)
1478,FIG|691.12.PEG.1542,ALR15924.1,CP009977.1,PN96_07940,leucine-responsive transcriptional regulator,complement(1733886..1734380)
1479,FIG|691.12.PEG.1543,ALR15925.1,CP009977.1,PN96_07945,alanine dehydrogenase,1734537..1735661
1480,FIG|691.12.PEG.1544,ALR15926.1,CP009977.1,PN96_07950,SAM-dependent methyltransferase,complement(1735757..1736950)
1481,FIG|691.12.PEG.1545,ALR15927.1,CP009977.1,PN96_07955,CysB family transcriptional regulator,complement(1737041..1738015)
1482,FIG|691.12.PEG.1546,ALR17234.1,CP009977.1,PN96_07960,DNA repair protein,1738340..1739104
1483,FIG|691.12.PEG.1547,ALR15928.1,CP009977.1,PN96_07965,tRNA hydroxylase,1739207..1739977
1484,FIG|691.12.PEG.1548,ALR15929.1,CP009977.1,PN96_07970,transporter,1740154..1741110
1485,FIG|691.12.PEG.1549,ALR15930.1,CP009977.1,PN96_07975,transcriptional regulator,complement(1741166..1741618)
1486,FIG|691.12.PEG.1550,ALR15931.1,CP009977.1,PN96_07980,multidrug transporter,complement(1741718..1744876)
1487,FIG|691.12.PEG.1551,ALR15932.1,CP009977.1,PN96_07985,hemolysin D,complement(1744879..1746018)
1488,FIG|691.12.PEG.1553,ALR15933.1,CP009977.1,PN96_07990,benzoate transporter,complement(1746492..1747655)
1489,FIG|691.12.PEG.1554,ALR15934.1,CP009977.1,PN96_07995,XRE family transcriptional regulator,1747756..1748295
1490,FIG|691.12.PEG.1555,ALR15935.1,CP009977.1,PN96_08000,acyltransferase,complement(1748537..1749460)
1491,FIG|691.12.PEG.1556,ALR15936.1,CP009977.1,PN96_08005,phosphoribosyl-dephospho-CoA transferase,complement(1749536..1750168)
1492,FIG|691.12.PEG.1557,ALR15937.1,CP009977.1,PN96_08010,malonate decarboxylase subunit gamma,complement(1750173..1750973)
1493,FIG|691.12.PEG.1558,ALR17235.1,CP009977.1,PN96_08015,acetyl-CoA carboxylase,complement(1750966..1751799)
